Category,Description,Nutrient Data Bank Number,x,y
Butter,"Butter, salted",1001,79.85507,-112.08433
Butter,"Butter, whipped, with salt",1002,79.97134,-112.066635
Butter oil,"Butter oil, anhydrous",1003,79.89914,-112.19788
Cheese,"Cheese, blue",1004,80.00217,-111.1499
Cheese,"Cheese, brick",1005,80.049164,-111.191666
Cheese,"Cheese, brie",1006,79.63916,-111.93816
Cheese,"Cheese, camembert",1007,79.807396,-111.18484
Cheese,"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)",1009,79.84058,-111.27568
Cheese,"Cheese, colby",1011,80.11704,-111.4734
Cheese,"Cheese, cottage, creamed, large or small curd",1012,77.7554,-98.61639
Cheese,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",1014,77.3207,-98.54966
Cheese,"Cheese, cottage, lowfat, 2% milkfat",1015,77.38572,-98.36643
Cheese,"Cheese, cottage, lowfat, 1% milkfat",1016,77.72684,-98.260704
Cheese,"Cheese, cream",1017,80.01732,-112.66649
Cheese,"Cheese, feta",1019,80.17364,-110.18842
Cheese,"Cheese, fontina",1020,79.87094,-111.35103
Cheese,"Cheese, gouda",1022,80.08672,-110.6422
Cheese,"Cheese, gruyere",1023,80.29205,-110.734245
Cheese,"Cheese, limburger",1024,79.92429,-111.43665
Cheese,"Cheese, monterey",1025,79.99702,-110.97572
Cheese,"Cheese, mozzarella, low moisture, part-skim",1029,80.54142,-110.13447
Cheese,"Cheese, muenster",1030,80.10627,-111.17718
Cheese,"Cheese, parmesan, grated",1032,80.764015,-110.11898
Cheese,"Cheese, provolone",1035,80.253136,-110.6839
Cheese,"Cheese, ricotta, whole milk",1036,77.1361,-100.65916
Cheese,"Cheese, ricotta, part skim milk",1037,77.29582,-99.869156
Cheese,"Cheese, swiss",1040,80.4552,-110.73243
Cheese,"Cheese, pasteurized process, American, vitamin D fortified",1042,80.21119,-110.74992
Cheese spread,"Cheese spread, pasteurized process, American",1048,80.55988,-109.545525
Cream,"Cream, fluid, half and half",1049,77.35382,-100.345566
Cream,"Cream, fluid, light (coffee cream or table cream)",1050,77.275,-101.66213
Cream,"Cream, fluid, heavy whipping",1053,80.10097,-112.5287
Cream,"Cream, whipped, cream topping, pressurized",1054,79.19998,-112.26424
Cream,"Cream, sour, cultured",1056,77.492,-101.887215
Eggnog,Eggnog,1057,77.0619,-99.038055
Cheese,"Cheese, American, nonfat or fat free",1061,81.15742,-109.30752
Cream substitute,"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",1067,77.80575,-100.09111
Cream substitute,"Cream substitute, powdered",1069,79.73234,-112.101036
Dessert topping,"Dessert topping, semi solid, frozen",1073,79.060814,-111.961945
Sour cream,"Sour cream, imitation, cultured",1074,78.98921,-111.72407
Milk,"Milk, whole, 3.25% milkfat, with added vitamin D",1077,77.5363,-98.5188
Milk,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",1079,77.595406,-98.484604
Milk,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",1082,77.62135,-98.41877
Milk,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",1085,77.50697,-98.279015
Milk,"Milk, buttermilk, fluid, cultured, lowfat",1088,77.79645,-98.15273
Milk,"Milk, low sodium, fluid",1089,77.52465,-98.82565
Milk,"Milk, dry, whole, with added vitamin D",1090,81.13529,-110.065704
Milk,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",1091,81.373344,-109.51731
Milk,"Milk, buttermilk, dried",1094,81.19918,-109.89362
Milk,"Milk, canned, condensed, sweetened",1095,80.03598,-109.79828
Milk,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",1096,77.01514,-99.847084
Milk,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",1097,76.89354,-99.06674
Milk,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",1102,77.39682,-99.44571
Milk,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",1103,77.42266,-99.03646
Milk,"Milk, chocolate, lowfat, with added vitamin A and vitamin D",1104,77.39935,-98.760925
Milk,"Milk, goat, fluid, with added vitamin D",1106,77.22574,-98.75055
Milk,"Milk, human, mature, fluid",1107,78.63189,-98.90875
Whey,"Whey, acid, dried",1113,81.532234,-109.7372
Whey,"Whey, sweet, dried",1115,81.43767,-109.89941
Yogurt,"Yogurt, plain, whole milk",1116,77.56602,-98.52016
Yogurt,"Yogurt, plain, low fat",1117,76.98389,-98.65343
Yogurt,"Yogurt, plain, skim milk",1118,77.060196,-98.5668
Egg,"Egg, whole, raw, fresh",1123,83.24965,-96.25958
Egg,"Egg, white, raw, fresh",1124,77.666504,-97.734024
Egg,"Egg, yolk, raw, fresh",1125,82.86173,-96.17801
Egg,"Egg, whole, cooked, hard-boiled",1129,83.29954,-96.23434
Egg,"Egg, whole, dried",1133,82.60452,-96.27534
Egg,"Egg, duck, whole, fresh, raw",1138,83.12333,-96.30241
Egg,"Egg, goose, whole, fresh, raw",1139,83.22571,-96.19464
Egg,"Egg, quail, whole, fresh, raw",1140,83.23661,-96.2554
Butter,"Butter, without salt",1145,79.84414,-112.18238
Milk,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",1151,77.71091,-98.11096
Milk,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",1154,81.42044,-109.84211
Cheese,"Cheese, goat, semisoft type",1157,79.965225,-112.02328
Cheese sauce,"Cheese sauce, prepared from recipe",1164,77.61497,-101.47943
Cheese,"Cheese, mexican, queso anejo",1165,80.14897,-111.01108
Cheese,"Cheese, mexican, queso asadero",1166,80.111496,-110.90911
Cheese,"Cheese, low-sodium, cheddar or colby",1169,79.90156,-111.449066
Sour cream,"Sour cream, light",1179,77.31834,-100.15389
Sour cream,"Sour cream, fat free",1180,77.64943,-98.65992
Parmesan cheese topping,"Parmesan cheese topping, fat free",1185,80.90931,-109.30432
Cheese,"Cheese, cream, fat free",1186,80.64764,-109.08117
Cream,"Cream, half and half, fat free",1199,77.19749,-98.41214
Cream substitute,"Cream substitute, flavored, liquid",1205,76.98588,-102.61289
Cream substitute,"Cream substitute, flavored, powdered",1206,78.489784,-111.4429
Cheese,"Cheese, provolone, reduced fat",1208,80.5117,-110.02117
Cheese,"Cheese, Mexican, blend, reduced fat",1209,80.60532,-109.91332
Milk,"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",1211,77.70123,-98.29961
Cheese product,"Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D",1215,80.66501,-109.52848
Protein supplement,"Protein supplement, milk based, Muscle Milk, powder",1223,82.78408,-110.31108
Protein supplement,"Protein supplement, milk based, Muscle Milk Light, powder",1224,83.1851,-110.132996
Dulce de Leche,Dulce de Leche,1225,79.97661,-109.686
Egg substitute,"Egg substitute, liquid or frozen, fat free",1226,77.83025,-98.17939
Cheese,"Cheese, fresh, queso fresco",1228,80.33653,-110.419655
Milk,"Milk, buttermilk, fluid, whole",1230,77.82013,-98.3596
Ice cream,"Ice cream, bar or stick, chocolate covered",1237,79.1969,-111.663864
Ice cream cone,"Ice cream cone, chocolate covered, with nuts, flavors other than chocolate",1240,78.61344,-110.79631
Fat free ice cream,"Fat free ice cream, no sugar added, flavors other than chocolate",1243,81.09137,-104.688866
Nutritional supplement for people with diabetes,"Nutritional supplement for people with diabetes, liquid",1250,77.7704,-99.734726
Cheese,"Cheese, Mexican blend",1251,79.86153,-111.072815
Cheese product,"Cheese product, pasteurized process, American, vitamin D fortified",1252,80.693924,-109.92946
Cheese,"Cheese, pasteurized process, American, without added vitamin D",1253,80.29881,-110.46178
Yogurt,"Yogurt, Greek, plain, nonfat (Includes foods for USDA's Food Distribution Program)",1256,77.311104,-98.092445
Cheese spread,"Cheese spread, American or Cheddar cheese base, reduced fat",1259,80.69329,-109.20459
Cheese,"Cheese, cheddar, reduced fat (Includes foods for USDA's Food Distribution Program)",1260,80.72206,-109.98619
Ice cream bar,"Ice cream bar, stick or nugget, with crunch coating",1264,79.039215,-111.591866
Cheese,"Cheese, cheddar, nonfat or fat free",1265,80.59569,-109.34893
Cheese,"Cheese, Swiss, nonfat or fat free",1266,80.736206,-109.28454
Cheese,"Cheese, mexican, queso cotija",1267,80.26251,-110.53251
Yogurt,"Yogurt, Greek, strawberry, lowfat",1284,77.152596,-99.28933
Yogurt,"Yogurt, Greek, strawberry, nonfat",1285,77.46954,-98.86804
Yogurt,"Yogurt, Greek, vanilla, nonfat",1286,77.57478,-98.99557
Yogurt,"Yogurt, Greek, plain, lowfat",1287,77.35996,-98.61663
Kefir,"Kefir, lowfat, plain, LIFEWAY",1289,77.33745,-98.0423
Kefir,"Kefir, lowfat, strawberry, LIFEWAY",1290,77.23369,-98.69677
Milk,"Milk, chocolate, fat free, with added vitamin A and vitamin D",1292,77.41913,-98.96468
Yogurt,"Yogurt, Greek, plain, whole milk",1293,77.29267,-98.77723
Yogurt,"Yogurt, Greek, fruit, whole milk",1294,77.253624,-99.304695
Yogurt,"Yogurt, Greek, vanilla, lowfat",1297,76.96753,-98.95657
Light ice cream,"Light ice cream, Creamsicle",1302,76.94131,-100.87978
Milk,"Milk, chocolate, lowfat, reduced sugar",1305,77.04799,-98.5355
Spices,"Spices, basil, dried",2003,83.24472,-108.9664
Spices,"Spices, caraway seed",2005,82.66239,-109.52571
Spices,"Spices, celery seed",2007,82.83476,-109.90174
Spices,"Spices, chili powder",2009,84.1492,-107.08683
Spices,"Spices, cinnamon, ground",2010,82.56966,-108.733635
Spices,"Spices, cloves, ground",2011,82.9928,-108.94942
Spices,"Spices, coriander leaf, dried",2012,82.95936,-109.25469
Spices,"Spices, cumin seed",2014,83.181625,-109.43602
Spices,"Spices, garlic powder",2020,82.01166,-109.35152
Spices,"Spices, ginger, ground",2021,82.872475,-108.93202
Spices,"Spices, marjoram, dried",2023,83.41072,-109.116905
Spices,"Spices, mustard seed, ground",2024,82.505196,-110.64011
Spices,"Spices, nutmeg, ground",2025,81.4109,-110.44022
Spices,"Spices, onion powder",2026,82.46648,-109.137115
Spices,"Spices, oregano, dried",2027,82.96139,-109.03303
Spices,"Spices, paprika",2028,84.09784,-106.99522
Spices,"Spices, parsley, dried",2029,83.144875,-108.77296
Spices,"Spices, pepper, black",2030,82.763596,-108.60425
Spices,"Spices, pepper, red or cayenne",2031,83.77052,-107.2111
Spices,"Spices, poultry seasoning",2034,83.28997,-108.14667
Spices,"Spices, pumpkin pie spice",2035,82.87196,-109.03114
Spices,"Spices, sage, ground",2038,83.29054,-108.43949
Spices,"Spices, thyme, dried",2042,83.96218,-108.706345
Spices,"Spices, turmeric, ground",2043,82.909454,-109.32412
Basil,"Basil, fresh",2044,83.46884,-107.39224
Mustard,"Mustard, prepared, yellow",2046,81.101074,-103.3318
Salt,"Salt, table, iodized",2047,81.859344,-102.72576
Vinegar,"Vinegar, cider",2048,80.067604,-97.17889
Vanilla extract,"Vanilla extract, imitation, no alcohol",2052,78.288246,-99.54488
Vinegar,"Vinegar, distilled",2053,79.90091,-96.78387
Capers,"Capers, canned",2054,81.12086,-102.536804
Horseradish,"Horseradish, prepared",2055,80.26033,-102.010864
Clif Z bar,Clif Z bar,3000,81.42293,-109.29787
Babyfood,"Babyfood, juice treats, fruit medley, toddler",3001,74.67313,-97.4724
Babyfood,"Babyfood, meat, beef, strained",3002,81.40525,-99.47099
Babyfood,"Babyfood, meat, beef, junior",3003,81.466484,-99.47937
Babyfood,"Babyfood, meat, veal, strained",3005,81.82724,-99.63893
Babyfood,"Babyfood, meat, ham, strained",3008,81.228355,-99.768456
Babyfood,"Babyfood, meat, lamb, strained",3010,81.95183,-99.49435
Babyfood,"Babyfood, meat, chicken, strained",3012,81.769485,-100.07842
Babyfood,"Babyfood, meat, chicken, junior",3013,81.671326,-100.21678
Babyfood,"Babyfood, meat, chicken sticks, junior",3014,81.58673,-100.24357
Babyfood,"Babyfood, meat, turkey, strained",3015,81.39235,-99.79492
Babyfood,"Babyfood, meat, turkey, junior",3016,81.38607,-99.93493
